DATE,Y,I,C,L,K
2009Q3,-0.048669327,-0.22105923,-0.016068565,-0.021356903,-0.086760493
2009Q4,-0.041019342,-0.151681913,-0.018976695,-0.012937935,-0.082167013
2010Q1,-0.032618239,-0.126949405,-0.013428321,-0.004507161,-0.082101369
2010Q2,-0.015185882,-0.07720668,-0.002298534,0.003934615,-0.048973089
2010Q3,-0.00946836,-0.043107904,-0.001358885,0.003526985,-0.045271452
2010Q4,-0.007792824,-0.043602432,0.000947599,0.003926597,-0.036357759
2011Q1,-0.008011418,-0.063748609,0.004258214,0.003222634,-0.039575551
2011Q2,-0.00446387,-0.030215113,0.00171271,0.005964594,-0.031943992
2011Q3,-0.007462057,-0.035943838,-0.000675832,0.003169851,-0.011667695
2011Q4,0.000102545,0.011681221,-0.001663274,0.002667686,0.000999844
2012Q1,0.000105903,0.020462452,-0.003311305,0.006521165,0.008222787
2012Q2,0.004408579,0.030855249,-0.000862742,0.004253223,0.015720937
2012Q3,-0.003457009,0.016207804,-0.006478868,-0.000170828,0.005290156
2012Q4,-0.007297169,0.002691124,-0.007847971,-0.000426692,0.005802918
2013Q1,-0.000655441,0.026813752,-0.00565957,0.004749268,0.011072409
2013Q2,-0.002944107,0.024981755,-0.008359318,0.003058765,0.004797801
2013Q3,-0.002014594,0.042471071,-0.011630655,0.001554818,0.00500269
2013Q4,-0.001323782,0.025619481,-0.007498082,0.00240199,0.005722198
2014Q1,-0.00537681,0.009370174,-0.008354279,-0.002685721,0.000746933
2014Q2,0.007663997,0.037942486,0.0001496,0.004505996,0.017963581
2014Q3,0.009484431,0.047641268,0.000649654,0.00322963,0.024696853
2014Q4,0.012768667,0.047284853,0.005204505,0.006133334,0.025156935
2015Q1,0.01738588,0.066248814,0.00556656,0.001764998,0.018481299
2015Q2,0.015853841,0.057975388,0.005529107,-0.001486895,0.017792522
2015Q3,0.011842339,0.043405192,0.003999138,-0.00296158,0.012719491
2015Q4,0.004047586,0.008081351,0.002392192,-0.004480267,0.000956046
2016Q1,0.000749196,-0.011084186,0.003504629,-0.003186088,0.000340435
2016Q2,0.001238519,-0.023322904,0.006628792,-0.002370776,-0.004783489
2016Q3,-0.003589206,-0.03179154,0.003590152,-0.0012881,-0.005381976
2016Q4,-0.001010624,-0.008062507,0.001320359,-0.000807408,-0.007762371
2017Q1,0.00249651,-0.013927122,0.006886102,0.000318807,0.001839218
2017Q2,0.003665127,-0.001315948,0.005027139,0.003370318,-0.000640909
2017Q3,0.003233902,0.002226915,0.003454276,0.001840786,-0.006888531
2017Q4,0.00740409,-0.001886464,0.008945631,0.001075727,0.007589117
2018Q1,0.009635059,0.009445976,0.009244034,0.006311094,0.012598474
2018Q2,0.01171951,0.002550275,0.013160148,0.010289178,0.01645735
2018Q3,0.011601983,0.024117871,0.008103759,0.008210686,0.012286822
2018Q4,0.007335682,0.021823334,0.003979932,0.008706306,0.003229189
2019Q1,0.008502088,0.02808089,0.003424199,0.005050811,0.010518196
2019Q2,0.011002261,0.033655486,0.005073266,0.002462306,0.014917416
2019Q3,0.011509329,0.026165131,0.007712159,-0.001615044,0.014709398
2019Q4,0.00370731,-0.015340181,0.00828491,-0.003419816,0.005824555
2020Q1,-0.017525549,-0.040722759,-0.011215893,-0.003318273,0.001434161
2020Q2,-0.125670592,-0.205088202,-0.104867094,-0.053558084,-0.068885963
2020Q3,-0.032734323,-0.043776564,-0.029318911,-0.009085426,-0.023602088
2020Q4,-0.022962517,-0.016539735,-0.023762291,0.001085136,0.000962033
2021Q1,-0.011351341,-0.028268144,-0.005752925,0.007710096,0.016401702
2021Q2,0.003930879,-0.047417292,0.019151638,0.008936452,0.015647756
2021Q3,0.009056267,-0.01609407,0.016987888,0.006249571,-0.000676533
2021Q4,0.024787292,0.03627569,0.020710836,0.004236824,-0.001219428
2022Q1,0.023811101,0.059878939,0.012623396,0.005775146,0.00655928
2022Q2,0.022698249,0.04264569,0.015644053,0.00271197,0.005351172
2022Q3,0.012331772,0.027389732,0.007749709,0.000661153,-0.004220883
2022Q4,0.009705039,0.038235787,0.001594096,-0.003770116,-0.011289823
2023Q1,0.002933579,0.005510775,0.002576489,-0.003564725,-0.008148991
